Date,Food
09/19/2013,"Pizza, Cali Chicken Bacon Ranch, Med"
09/19/2013,Double Chocolatey Chunk Krispie 
09/19/2013,Quaker chewy  s'mores
,
09/20/2013,"Egg, Large"
09/20/2013,"Bread, Whole Wheat"
09/20/2013,"Pasta, Linguine, Fini"
09/20/2013,"Spinach, Frozen, Cooked"
09/20/2013,"Mushrooms, Portabella"
09/20/2013,"Garlic, Clove"
09/20/2013,Candy Corn
09/20/2013,Elliptical
,
09/21/2013,"Egg, Large"
09/21/2013,"Bread, Whole Wheat"
09/21/2013,Ground Beef Quesadilla 
09/21/2013,"Avocado, California"
09/21/2013,"Sour Cream, Reg"
09/21/2013,Candy Corn
,
09/22/2013,"Egg, Large"
09/22/2013,"Potatoes, Russet, w/ Skin, Med, 2 1/4 - 3 1/4"
09/22/2013,"Spinach, Baby, Fresh"
09/22/2013,Ground Beef Quesadilla 
09/22/2013,"Avocado, California"
09/22/2013,"Sour Cream, Reg"
09/22/2013,Candy Corn
,
09/23/2013,"Pizza, Cheese, 14, Fast Food"
09/23/2013,Sobe Smooth Strawberry Banana
09/23/2013,Candy Corn
,
09/24/2013,"Banana, Large, 8 - 8 7/8 Long"
09/24/2013,"Sushi, Spicy Roll, Shrimp"
09/24/2013,Sobe Smooth Strawberry Banana
09/24/2013,Ground Beef Quesadilla 
09/24/2013,"Avocado, California"
09/24/2013,"Sour Cream, Reg"
,
09/25/2013,Cheese quesadilla
09/25/2013,"Avocado, California"
09/25/2013,"Sour Cream, Reg"
09/25/2013,"Apple, Large"
09/25/2013,"Banana, Large, 8 - 8 7/8 Long"
09/25/2013,"Peanut Butter, Creamy"
,
